Size(N),Experiment Height(h),Log of Size,Sqrt of Size
10,3.9,2.151762203259462,2.932575659723036
11,4.4,2.3978952727983707,3.3166247903554
12,4.6,2.4849066497880004,3.4641016151377544
13,4.7,2.517696472610991,3.521363372331802
14,5.1,2.653241964607215,3.7682887362833544
15,4.8,2.653241964607215,3.7682887362833544
16,5.6,2.760009940032921,3.9749213828703582
17,5.3,2.772588722239781,4.0
18,6.0,2.8903717578961645,4.242640687119285
19,6.4,2.9338568698359038,4.33589667773576
20,6.3,2.9652730660692823,4.404543109109048
21,5.9,2.954910279033736,4.381780460041329
22,6.3,2.9856819377004897,4.449719092257398
23,6.0,3.054001181677967,4.604345773288535
24,6.6,3.1780538303479458,4.898979485566356
25,7.0,3.3105430133940246,5.2345009313209605
26,7.2,3.2188758248682006,5.0
27,6.9,3.265759410767051,5.118593556827891
28,7.8,3.3603753871419,5.366563145999495
29,7.6,3.3250360206965914,5.272570530585627
30,7.1,3.367295829986474,5.385164807134504
31,7.6,3.4657359027997265,5.656854249492381
32,7.8,3.4531571205928664,5.621387729022079
33,7.7,3.380994674344636,5.422176684690384
34,7.7,3.502549875922443,5.761944116355173
35,7.5,3.5263605246161616,5.830951894845301
36,7.8,3.616308761279101,6.099180272790763
37,7.8,3.648057459593681,6.196773353931867
38,8.3,3.6375861597263857,6.164414002968976
39,7.9,3.632309102625542,6.148170459575759
40,7.7,3.648057459593681,6.196773353931867
41,8.5,3.713572066704308,6.4031242374328485
42,8.3,3.756538102587751,6.54217089351845
43,8.3,3.742420221041966,6.496152707564686
44,8.3,3.756538102587751,6.54217089351845
45,9.3,3.8066624897703196,6.708203932499369
46,8.8,3.7796338173824005,6.618156843109719
47,8.9,3.8372994592322094,6.81175454637056
48,9.0,3.879499813722586,6.957010852370434
49,8.7,3.8543938925915096,6.870225614927067
50,9.0,3.9435216724875173,7.183313998427188
51,9.0,3.899950424193877,7.0285133563222315
52,8.8,3.955082494888593,7.224956747275377
53,9.0,3.9435216724875173,7.183313998427188
54,9.5,4.021773869387265,7.469939758793239
55,8.9,3.9512437185814275,7.211102550927978
56,9.8,4.039536325727106,7.536577472566709
57,9.1,4.01096295328305,7.429670248402684
58,9.7,4.074141854904581,7.6681158050723255
59,9.1,4.036008985209137,7.523297149521611
60,10.0,4.014579593753238,7.443117626371358
61,9.7,4.11414718951828,7.8230428862431785
62,10.5,4.139955073474153,7.92464510246358
63,9.6,4.0943445622221,7.745966692414834
64,9.4,4.104294893075269,7.784600182411426
65,11.0,4.1713056033582285,8.049844718999243
66,9.7,4.204692619390966,8.18535277187245
67,9.6,4.1956970564823886,8.148619514985345
68,10.1,4.183575695950044,8.099382692526634
69,10.3,4.23410650459726,8.306623862918075
70,10.2,4.28496492183075,8.520563361656317
71,10.2,4.28771595520264,8.532291603080617
72,10.2,4.237000862623624,8.318653737234168
73,10.7,4.268297869345539,8.449852069711044
74,10.4,4.293195420967266,8.555699854482976
75,10.8,4.354141431184346,8.820430828479978
76,10.9,4.29592393562047,8.567379996241558
77,10.7,4.32280727501391,8.683317338436964
78,10.7,4.396915247167632,9.011104260855047
79,10.8,4.343805421853684,8.774964387392123
80,10.8,4.364371699435161,8.8656641037206
81,10.7,4.394449154672439,9.0
