Size(N),Experiment Height(h),Log of Size,Sqrt of Size
10,4.8,2.379546134130174,3.286335345030997
11,4.5,2.4159137783010487,3.3466401061363023
12,4.4,2.3978952727983707,3.3166247903554
13,4.9,2.6100697927420065,3.687817782917155
14,5.5,2.517696472610991,3.521363372331802
15,5.0,2.6390573296152584,3.7416573867739413
16,5.3,2.70805020110221,3.872983346207417
17,5.7,2.8094026953624978,4.0743097574926725
18,5.7,2.8791984572980396,4.219004621945797
19,5.5,2.9231615807191558,4.312771730569565
20,6.2,2.9444389791664403,4.358898943540674
21,6.8,3.0633909220278057,4.626013402488151
22,6.5,3.0633909220278057,4.626013402488151
23,6.7,3.126760535960395,4.774934554525329
24,6.5,3.152736022363656,4.8373546489791295
25,7.0,3.2809112157876537,5.157518783291051
26,7.1,3.2733640101522705,5.138093031466052
27,6.6,3.2268439945173775,5.019960159204453
28,7.2,3.374168709274236,5.403702434442518
29,7.2,3.3032169733019514,5.215361924162119
30,7.6,3.3945083935113587,5.458937625582473
31,7.0,3.353406717825807,5.347896782848375
32,6.7,3.407841924380824,5.495452665613635
33,7.8,3.4719664525503626,5.674504383644443
34,7.9,3.4719664525503626,5.674504383644443
35,8.2,3.520460802488973,5.813776741499453
36,7.5,3.502549875922443,5.761944116355173
37,8.1,3.6054978451748854,6.06630035524124
38,7.9,3.6584202466292277,6.2289646009589745
39,7.9,3.673765816303888,6.276941930590086
40,8.3,3.6584202466292277,6.2289646009589745
41,8.2,3.6788291182604347,6.29285308902091
42,8.5,3.7184382563554808,6.418722614352485
43,8.4,3.7612001156935624,6.557438524302
44,7.8,3.756538102587751,6.54217089351845
45,8.7,3.770459441106359,6.587867636800241
46,8.3,3.8066624897703196,6.708203932499369
47,8.6,3.8372994592322094,6.81175454637056
48,9.4,3.86702563949741,6.913754406977442
49,9.0,3.845883202923601,6.841052550594828
50,9.3,3.9160150266976834,7.085195833567341
51,9.2,3.8958936234982624,7.014271166700073
52,8.7,3.9852734671677386,7.334848328356899
53,10.1,3.9926809084456005,7.362064927722384
54,9.6,3.996364153861897,7.37563556583431
55,9.3,3.996364153861897,7.37563556583431
56,10.1,4.01096295328305,7.429670248402684
57,9.3,4.050044303325521,7.576278769950324
58,9.8,4.104294893075269,7.784600182411426
59,10.1,4.00369019395397,7.402702209328699
60,9.5,4.14946386144318,7.962411694957753
61,9.8,4.123903364463645,7.861297602813418
62,10.1,4.133565275375382,7.899367063252599
63,9.3,4.168214410788556,8.037412518964047
64,9.8,4.180522258463153,8.087026647662292
65,9.6,4.133565275375382,7.899367063252599
66,10.0,4.120661870539474,7.848566748139434
67,10.3,4.219507705176107,8.246211251235321
68,10.0,4.22829253473184,8.282511696339462
69,10.8,4.2456340097683265,8.35463942968217
