Initial Size,Experiment Size(N),Experiment Height(h),Sqrt(N)
50,47.6,8.9,6.899275324264136
51,50.0,9.0,7.0710678118654755
52,50.8,9.1,7.127411872482185
53,53.2,9.2,7.293833011524188
54,51.6,9.0,7.183313998427188
55,56.4,10.0,7.5099933422074345
56,54.2,9.4,7.362064927722384
57,58.0,9.0,7.615773105863909
58,58.4,9.8,7.64198926981712
59,60.8,9.0,7.797435475847171
60,58.6,9.2,7.655063683601855
61,62.2,10.1,7.886697661252142
62,61.4,10.3,7.835815209663893
63,61.2,9.7,7.8230428862431785
64,63.0,9.9,7.937253933193772
65,67.4,10.6,8.209750300709517
66,66.8,9.9,8.17312669668102
67,64.6,10.3,8.037412518964047
68,66.8,10.4,8.17312669668102
69,68.0,10.7,8.246211251235321
70,70.0,10.4,8.366600265340756
71,71.6,11.0,8.461678320522472
72,67.8,9.9,8.23407554009556
73,71.2,10.6,8.438009243891594
74,70.8,10.8,8.414273587185052
75,73.6,10.5,8.579044235810887
76,76.4,10.2,8.740709353364863
77,74.8,10.4,8.648699324175862
78,75.8,10.1,8.706319543871567
79,81.0,10.4,9.0
80,82.4,11.0,9.077444574328174
81,79.0,11.0,8.888194417315589
82,84.2,11.4,9.17605579756357
83,81.6,11.2,9.033271832508971
84,81.4,10.4,9.02219485491197
85,86.6,10.7,9.305912099305473
86,84.8,11.2,9.20869154657707
87,87.6,11.6,9.359487165438072
88,84.2,11.5,9.17605579756357
89,84.8,10.6,9.20869154657707
90,85.4,10.7,9.241212041718338
91,94.8,11.4,9.736529155710468
92,89.4,10.8,9.45515732285825
93,94.2,11.4,9.705668446840743
94,94.6,11.4,9.726253132630262
95,92.4,12.2,9.612491872558333
96,95.4,11.2,9.767292357659825
97,98.2,11.0,9.909591313469996
98,97.8,10.8,9.889388252060893
99,99.6,10.7,9.979979959899719
100,98.4,11.2,9.919677414109795
101,101.0,11.0,10.04987562112089
102,104.0,11.1,10.198039027185569
103,99.0,10.7,9.9498743710662
104,101.6,10.9,10.079682534683322
105,105.6,10.7,10.276186062932103
106,111.6,10.9,10.564090116995406
107,107.2,10.6,10.353743284435827
108,103.2,10.7,10.158740079360236
109,110.0,10.9,10.488088481701515
110,108.0,10.7,10.392304845413264
111,110.8,10.6,10.526157893552615
112,115.0,11.0,10.723805294763608
113,108.6,10.8,10.421132376090421
114,115.0,11.1,10.723805294763608
115,114.8,11.4,10.714476188783099
116,112.6,11.5,10.611314715905847
117,120.6,10.8,10.981803130633876
118,116.2,11.7,10.779610382569492
119,117.4,11.2,10.83512805646523
120,115.8,11.0,10.761040841851685
121,122.4,11.8,11.063453348751466
122,119.2,10.8,10.917875251164945
123,128.6,10.8,11.34019400186787
124,121.8,10.5,11.036303729057115
125,124.8,11.3,11.171392035015153
126,126.0,10.2,11.224972160321824
127,127.2,10.9,11.278297743897348
128,128.4,11.3,11.331372379372237
129,133.2,11.0,11.541230437002806
130,129.0,11.3,11.357816691600547
131,127.4,10.9,11.28716084761797
132,131.2,11.3,11.454256850621082
133,129.6,10.9,11.384199576606166
134,129.8,10.9,11.392980294900891
135,130.2,10.9,11.41052146047673
136,134.8,11.7,11.610340218959994
137,140.8,11.4,11.865917579353061
138,135.0,10.8,11.61895003862225
139,140.6,11.0,11.85748708622531
140,142.0,11.3,11.916375287812984
141,138.6,10.8,11.77285012220915
142,140.4,10.9,11.8490505948789
143,139.0,11.2,11.789826122551595
144,148.2,11.1,12.17374223482656
145,140.8,11.2,11.865917579353061
146,145.0,11.5,12.041594578792296
147,151.2,10.9,12.296340919151518
148,145.4,11.7,12.058192235986288
149,149.0,11.7,12.206555615733702
150,147.4,11.3,12.14084016862095
151,148.8,11.8,12.198360545581526
152,150.0,11.6,12.24744871391589
153,154.2,11.7,12.417729261020309
154,154.6,11.0,12.433824833895642
155,153.2,11.4,12.37739875741264
156,152.0,11.1,12.328828005937952
157,157.0,12.8,12.529964086141668
158,162.6,11.8,12.751470503436064
159,157.2,11.9,12.537942414925983
160,154.4,11.7,12.425779653607254
161,158.4,12.1,12.58570617804182
162,161.2,12.0,12.696456198483101
163,158.8,11.4,12.601587201618692
164,159.8,11.9,12.641202474448386
165,168.4,12.3,12.976902558006667
166,164.4,11.8,12.821856339859686
167,167.6,11.8,12.946041866145807
168,165.0,12.3,12.84523257866513
169,166.0,12.1,12.884098726725126
170,166.0,12.6,12.884098726725126
171,170.0,12.8,13.038404810405298
172,171.8,12.8,13.107249902248755
173,168.4,12.2,12.976902558006667
174,172.0,12.1,13.114877048604
175,179.0,12.9,13.379088160259652
176,176.0,13.1,13.2664991614216
177,176.8,12.4,13.29661611087573
178,177.8,13.1,13.334166640626627
179,182.0,12.6,13.490737563232042
180,182.0,12.6,13.490737563232042
181,177.6,13.7,13.326664999166145
182,180.0,12.6,13.416407864998739
183,180.6,12.8,13.438749941865872
184,186.8,12.9,13.66747965061591
185,184.6,13.2,13.586758259423032
186,189.2,13.0,13.754999091239519
187,184.0,13.1,13.564659966250536
188,185.8,12.9,13.63084736911099
189,187.0,13.1,13.674794331177344
190,193.4,13.0,13.906832852953976
191,186.2,14.2,13.64551208273255
192,189.0,13.2,13.74772708486752
193,191.6,13.2,13.841965178398622
194,194.8,12.8,13.957077057894322
195,198.2,13.2,14.078352176302452
196,195.4,13.7,13.978555004005242
197,198.4,12.8,14.085453489327207
198,196.6,13.4,14.021412197064887
199,192.2,13.8,13.863621460498695
200,200.8,13.7,14.170391667134682
201,196.0,13.1,14.0
